# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Sep 24 15:25:48 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
HD 206610 b,HD 206610,2009,W. M. Keck Observatory,1.540000,2.56000,1.93,147.1920000
HD 20781 b,HD 20781,2019,La Silla Observatory,0.052900,0.00610,0.70,35.9715000
HD 20781 c,HD 20781,2019,La Silla Observatory,0.100400,0.01680,0.70,35.9715000
HD 20781 d,HD 20781,2019,La Silla Observatory,0.164700,0.03340,0.70,35.9715000
HD 20781 e,HD 20781,2019,La Silla Observatory,0.337400,0.04420,0.70,35.9715000
HD 20782 b,HD 20782,2006,Anglo-Australian Telescope,1.397000,1.43000,1.02,35.9864000
HD 207832 b,HD 207832,2012,W. M. Keck Observatory,0.570000,0.56000,0.94,58.9291000
HD 207832 c,HD 207832,2012,W. M. Keck Observatory,2.112000,0.73000,0.94,58.9291000
HD 207897 b,HD 207897,2021,Transiting Exoplanet Survey Satellite (TESS),,,,28.2938000
HD 20794 b,HD 20794,2011,La Silla Observatory,0.120700,0.00850,0.70,6.0027800
HD 20794 c,HD 20794,2011,La Silla Observatory,0.225000,0.00793,0.81,6.0027800
HD 20794 d,HD 20794,2011,La Silla Observatory,0.364000,0.01108,0.81,6.0027800
HD 20794 e,HD 20794,2017,La Silla Observatory,0.509000,0.01501,0.81,6.0027800
HD 208487 b,HD 208487,2004,Anglo-Australian Telescope,0.524000,0.52000,1.13,45.1470000
HD 208527 b,HD 208527,2012,Bohyunsan Optical Astronomical Observatory,2.100000,9.90000,1.60,312.2020000
HD 20868 b,HD 20868,2008,La Silla Observatory,0.950000,1.25000,0.39,47.7223000
HD 208897 b,HD 208897,2017,Multiple Observatories,1.050000,1.40000,1.25,67.4872000
HD 209458 b,HD 209458,1999,W. M. Keck Observatory,0.046000,0.62000,1.03,48.3016000
HD 210193 b,HD 210193,2019,Las Campanas Observatory,1.487000,0.48170,1.04,42.2029000
HD 210277 b,HD 210277,1998,W. M. Keck Observatory,1.100000,1.23000,0.92,21.2985000
HD 210702 b,HD 210702,2007,Lick Observatory,1.200000,1.90000,1.68,54.1963000
HD 211403 b,HD 211403,2021,Haute-Provence Observatory,0.768000,5.54000,1.20,83.0919000
HD 211810 b,HD 211810,2018,W. M. Keck Observatory,2.656000,0.67000,1.03,64.6353000
HD 211970 b,HD 211970,2019,Las Campanas Observatory,0.143000,0.04090,0.61,13.1277000
HD 212301 b,HD 212301,2005,La Silla Observatory,0.036000,0.45000,1.27,54.2304000
HD 212771 b,HD 212771,2009,W. M. Keck Observatory,1.160000,3.69000,2.41,111.1550000
HD 213240 b,HD 213240,2001,La Silla Observatory,2.030000,4.50000,1.22,40.8707000
HD 213472 b,HD 213472,2021,Multiple Observatories,13.000000,3.50000,1.05,64.4527000
HD 213885 b,HD 213885,2019,Transiting Exoplanet Survey Satellite (TESS),,,,48.0883000
HD 213885 c,HD 213885,2019,Multiple Observatories,0.056798,0.06277,1.07,48.0883000
HD 21411 b,HD 21411,2019,Las Campanas Observatory,0.362000,0.20734,0.89,29.1328000
HD 214823 b,HD 214823,2016,Haute-Provence Observatory,3.230000,20.30000,1.31,101.3680000
HD 215152 b,HD 215152,2018,La Silla Observatory,0.057638,0.00572,0.77,21.5974000
HD 215152 c,HD 215152,2018,La Silla Observatory,0.067393,0.00541,0.77,21.5974000
HD 215152 d,HD 215152,2018,La Silla Observatory,0.087990,0.00881,0.77,21.5974000
HD 215152 e,HD 215152,2018,La Silla Observatory,0.154170,0.00905,0.77,21.5974000
HD 215497 b,HD 215497,2009,La Silla Observatory,0.050000,0.02000,0.67,40.5468000
HD 215497 c,HD 215497,2009,La Silla Observatory,1.282000,0.33000,0.87,40.5468000
HD 216435 b,HD 216435,2002,Anglo-Australian Telescope,2.500000,1.26000,1.25,32.9834000
HD 216437 b,HD 216437,2002,Anglo-Australian Telescope,2.320000,1.82000,1.06,26.6902000
HD 216520 b,HD 216520,2020,Multiple Observatories,0.198000,0.03228,0.82,19.5520000
HD 216520 c,HD 216520,2020,Multiple Observatories,0.528000,0.02970,0.82,19.5520000
HD 216536 b,HD 216536,2015,McDonald Observatory,0.609000,1.47000,1.36,376.2330000
HD 216770 b,HD 216770,2003,La Silla Observatory,0.460000,0.65000,0.90,36.6625000
HD 21693 b,HD 21693,2019,La Silla Observatory,0.145500,0.02590,0.80,33.2550000
HD 21693 c,HD 21693,2019,La Silla Observatory,0.258600,0.05470,0.80,33.2550000
HD 217107 b,HD 217107,1998,Lick Observatory,0.075050,1.41350,0.98,20.0619000
HD 217107 c,HD 217107,2005,Lick Observatory,4.410000,2.50000,1.02,20.0619000
HD 21749 c,GJ 143,2019,Transiting Exoplanet Survey Satellite (TESS),,,,16.3200000
HD 217786 b,HD 217786,2011,La Silla Observatory,2.380000,13.00000,1.02,55.4847000
HD 217850 b,HD 217850,2018,W. M. Keck Observatory,4.560000,21.60000,1.03,65.7969000
HD 218566 b,HD 218566,2010,W. M. Keck Observatory,0.687500,0.19800,0.86,28.8274000
HD 219077 b,HD 219077,2012,La Silla Observatory,7.030000,13.40000,1.51,29.1864000
HD 219134 b,HD 219134,2015,Roque de los Muchachos Observatory,0.038760,0.01491,0.81,6.5312700
HD 219134 c,HD 219134,2015,Roque de los Muchachos Observatory,0.064000,0.00875,0.78,6.5312700
HD 219134 d,HD 219134,2015,Roque de los Muchachos Observatory,0.234500,0.05160,0.79,6.5312700
HD 219134 f,HD 219134,2015,Multiple Observatories,0.145300,0.02430,0.79,6.5312700
HD 219134 g,HD 219134,2015,Multiple Observatories,0.375300,0.03400,0.79,6.5312700
HD 219134 h,HD 219134,2015,Roque de los Muchachos Observatory,3.015000,0.24000,0.79,6.5312700
HD 219139 b,HD 219139,2021,Okayama Astrophysical Observatory,0.940000,0.78000,1.46,104.9350000
HD 219415 b,HD 219415,2012,McDonald Observatory,3.200000,1.00000,1.00,165.1840000
HD 219666 b,HD 219666,2018,Transiting Exoplanet Survey Satellite (TESS),,,,94.1719000
HD 219828 b,HD 219828,2007,La Silla Observatory,,0.06000,1.24,73.1140000
HD 219828 c,HD 219828,2016,Multiple Facilities,5.960000,15.10000,1.23,73.1140000
HD 220074 b,HD 220074,2012,Bohyunsan Optical Astronomical Observatory,1.600000,11.10000,1.20,324.5400000
HD 220197 b,HD 220197,2018,Roque de los Muchachos Observatory,2.729000,0.20000,0.91,64.4110000
HD 220689 b,HD 220689,2012,La Silla Observatory,3.396000,1.11800,1.02,46.8778000
HD 220773 b,HD 220773,2011,McDonald Observatory,4.940000,1.45000,1.16,50.5103000
HD 220842 b,HD 220842,2016,Haute-Provence Observatory,0.740000,3.18000,1.13,64.6498000
HD 221287 b,HD 221287,2007,La Silla Observatory,1.250000,3.09000,1.25,55.9231000
HD 221416 b,HD 221416,2019,Transiting Exoplanet Survey Satellite (TESS),,,1.21,95.5483000
HD 221420 b,HD 221420,2019,Anglo-Australian Telescope,10.150000,22.90000,1.35,31.1415000
HD 221585 b,HD 221585,2016,Haute-Provence Observatory,2.306000,1.61000,1.19,55.8535000
HD 222076 b,HD 222076,2016,Multiple Observatories,1.830000,1.56000,1.07,91.1538000
HD 222155 b,HD 222155,2011,Haute-Provence Observatory,5.140000,2.12000,1.21,50.6078000
HD 222582 b,HD 222582,1999,W. M. Keck Observatory,1.335000,7.88000,0.97,42.1586000
HD 224538 b,HD 224538,2016,Multiple Observatories,2.280000,5.97000,1.34,79.0608000
HD 224693 b,HD 224693,2006,W. M. Keck Observatory,0.191000,0.70000,1.31,93.5015000
HD 22496 b,HD 22496,2021,Paranal Observatory,0.051000,0.01753,0.68,13.5956000
HD 22532 b,HD 22532,2022,La Silla Observatory,1.900000,2.12000,1.57,161.1830000
HD 22781 b,HD 22781,2011,Haute-Provence Observatory,1.167000,13.65000,0.75,32.6034000
HD 23079 b,HD 23079,2001,Anglo-Australian Telescope,1.500000,2.50000,1.10,33.4591000
HD 23127 b,HD 23127,2006,Anglo-Australian Telescope,2.400000,1.50000,1.13,93.8555000
HD 231701 b,HD 231701,2007,W. M. Keck Observatory,0.530000,1.08000,1.14,108.8770000
HD 233604 b,HD 233604,2013,McDonald Observatory,0.747000,6.57500,1.50,847.0580000
HD 233832 b,HD 233832,2018,Roque de los Muchachos Observatory,2.827000,1.78000,0.71,58.7420000
HD 23472 b,HD 23472,2019,Transiting Exoplanet Survey Satellite (TESS),,,,39.0341000
HD 23472 c,HD 23472,2019,Transiting Exoplanet Survey Satellite (TESS),,,,39.0341000
HD 23596 b,HD 23596,2003,Haute-Provence Observatory,2.880000,8.10000,1.10,52.0018000
HD 238090 b,HD 238090,2020,Multiple Observatories,0.093200,0.02168,0.58,15.2354000
HD 238914 b,HD 238914,2018,Multiple Observatories,5.700000,6.00000,1.47,519.4520000
HD 240210 b,HD 240210,2009,McDonald Observatory,1.160000,5.21000,0.82,372.4050000
HD 240237 b,HD 240237,2011,McDonald Observatory,1.900000,5.30000,1.69,933.3770000
HD 24040 b,HD 24040,2006,W. M. Keck Observatory,4.708000,4.05000,1.10,46.6224000
HD 24040 c,HD 24040,2021,Multiple Observatories,1.300000,0.20100,1.10,46.6224000
HD 24064 b,HD 24064,2015,Bohyunsan Optical Astronomical Observatory,1.290000,12.89000,1.61,300.2470000
HD 24085 b,HD 24085,2019,Las Campanas Observatory,0.034000,0.03713,1.22,54.9004000
HD 25015 b,HD 25015,2019,La Silla Observatory,6.190000,4.48000,0.86,37.4330000
HD 25171 b,HD 25171,2010,La Silla Observatory,3.020000,0.95000,1.09,55.6146000
HD 25723 b,HD 25723,2020,Lick Observatory,1.490000,2.50000,2.12,114.8160000
HD 260655 b,HD 260655,2022,Transiting Exoplanet Survey Satellite (TESS),0.029330,0.00673,0.44,10.0055000
HD 260655 c,HD 260655,2022,Transiting Exoplanet Survey Satellite (TESS),,,,10.0055000
HD 26161 b,HD 26161,2021,Multiple Observatories,20.400000,13.50000,1.13,40.9128000
HD 2638 b,HD 2638,2005,La Silla Observatory,0.040000,0.42000,0.77,54.9621000
HD 2685 b,HD 2685,2019,Transiting Exoplanet Survey Satellite (TESS),0.056800,1.17000,1.43,196.8520000
HD 26965 b,HD 26965,2018,Multiple Observatories,,0.02665,0.78,5.0354500
HD 27442 b,HD 27442,2000,Anglo-Australian Telescope,1.160000,1.35000,1.20,18.2704000
HD 27631 b,HD 27631,2012,La Silla Observatory,3.242000,1.49400,0.94,50.2862000
HD 27894 b,HD 27894,2005,La Silla Observatory,0.122000,0.62000,0.80,43.8214000
HD 27894 c,HD 27894,2017,La Silla Observatory,0.198000,0.16200,0.80,43.8214000
HD 27894 d,HD 27894,2017,La Silla Observatory,5.448000,5.41500,0.80,43.8214000
HD 27969 b,HD 27969,2021,Haute-Provence Observatory,1.552000,4.80000,1.16,67.9328000
HD 28109 b,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),0.135700,0.05819,1.26,139.6110000
HD 28109 c,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),,,,139.6110000
HD 28109 d,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),0.411000,0.01787,1.26,139.6110000
HD 28185 b,HD 28185,2001,La Silla Observatory,1.044000,6.04000,1.02,39.3809000
HD 28254 b,HD 28254,2010,La Silla Observatory,2.150000,1.16000,1.06,55.2884000
HD 285507 b,HD 285507,2013,Fred Lawrence Whipple Observatory,,0.91700,0.73,45.0293000
HD 285968 b,HD 285968,2008,La Silla Observatory,0.066490,0.02850,0.51,9.4704500
HD 28678 b,HD 28678,2011,W. M. Keck Observatory,1.180000,1.54200,1.53,189.9080000
HD 29021 b,HD 29021,2017,Haute-Provence Observatory,2.294000,4.47000,0.86,30.9939000
HD 290327 b,HD 290327,2009,La Silla Observatory,3.430000,2.43000,0.84,56.4330000
HD 29399 b,HD 29399,2022,La Silla Observatory,1.913000,1.57000,1.17,44.1518000
HD 2952 b,HD 2952,2013,Okayama Astrophysical Observatory,1.230000,1.37000,1.97,110.1030000
HD 30177 b,HD 30177,2002,Anglo-Australian Telescope,3.950000,10.45000,0.98,55.5867000
HD 30177 c,HD 30177,2016,Multiple Observatories,9.890000,7.60000,0.99,55.5867000
HD 30562 b,HD 30562,2009,Lick Observatory,2.300000,1.29000,1.22,26.1597000
HD 30669 b,HD 30669,2014,La Silla Observatory,2.690000,0.47000,0.92,58.0844000
HD 30856 b,HD 30856,2011,W. M. Keck Observatory,1.850000,1.54700,1.17,131.1990000
HD 31253 b,HD 31253,2010,W. M. Keck Observatory,1.260000,0.50000,1.23,58.1438000
HD 31527 b,HD 31527,2019,La Silla Observatory,0.125400,0.03290,0.96,38.4473000
HD 31527 c,HD 31527,2019,La Silla Observatory,0.266300,0.04450,0.96,38.4473000
HD 31527 d,HD 31527,2019,La Silla Observatory,0.809800,0.03720,0.96,38.4473000
HD 3167 b,HD 3167,2016,K2,0.018600,,0.94,47.2899000
HD 3167 c,HD 3167,2016,K2,,,,47.2899000
HD 3167 d,HD 3167,2017,Multiple Observatories,0.077570,0.02171,0.86,47.2899000
HD 32518 b,HD 32518,2009,Thueringer Landessternwarte Tautenburg,0.590000,3.04000,1.13,122.1150000
HD 32963 b,HD 32963,2015,W. M. Keck Observatory,3.416000,0.72600,0.98,38.0786000
HD 330075 b,HD 330075,2004,La Silla Observatory,0.039000,0.62000,0.70,45.2989000
HD 331093 b,HD 331093,2021,Haute-Provence Observatory,1.440000,1.50000,1.03,50.1928000
HD 33142 b,HD 33142,2011,W. M. Keck Observatory,1.060000,1.30000,1.48,121.3750000
HD 33142 c,HD 33142,2018,W. M. Keck Observatory,,5.97000,1.62,121.3750000
HD 33142 d,HD 33142,2022,Multiple Observatories,0.452000,0.20000,1.52,121.3750000
HD 332231 b,HD 332231,2020,Transiting Exoplanet Survey Satellite (TESS),0.143600,0.24400,1.13,80.6665000
HD 33283 b,HD 33283,2006,W. M. Keck Observatory,0.145000,0.33000,1.24,89.8623000
HD 33564 b,HD 33564,2005,Haute-Provence Observatory,1.100000,9.10000,1.25,20.9531000
HD 33844 b,HD 33844,2015,Anglo-Australian Telescope,1.600000,2.01000,1.84,105.7790000
HD 33844 c,HD 33844,2015,Anglo-Australian Telescope,2.240000,1.75000,1.78,105.7790000
HD 34445 b,HD 34445,2009,W. M. Keck Observatory,2.075000,0.62900,1.07,46.0907000
HD 34445 c,HD 34445,2017,Multiple Observatories,0.718100,0.16800,1.07,46.0907000
HD 34445 d,HD 34445,2017,Multiple Observatories,0.481700,0.09700,1.07,46.0907000
HD 34445 e,HD 34445,2017,Multiple Observatories,0.268700,0.05290,1.07,46.0907000
HD 34445 f,HD 34445,2017,Multiple Observatories,1.543000,0.11900,1.07,46.0907000
HD 34445 g,HD 34445,2017,Multiple Observatories,6.360000,0.38000,1.07,46.0907000
HD 35759 b,HD 35759,2016,Haute-Provence Observatory,0.389000,3.76000,1.15,71.2423000
HD 360 b,HD 360,2021,Okayama Astrophysical Observatory,0.980000,0.75000,1.69,111.5420000
HD 3651 b,HD 3651,2003,Multiple Observatories,0.280000,0.20000,0.90,11.1336000
HD 37124 b,HD 37124,2002,W. M. Keck Observatory,0.533640,0.67500,0.85,31.6634000
HD 37124 c,HD 37124,2002,W. M. Keck Observatory,1.710000,0.65200,0.85,31.6634000
HD 37124 d,HD 37124,2005,W. M. Keck Observatory,3.142000,0.69500,0.78,31.6634000
HD 37605 b,HD 37605,2004,McDonald Observatory,0.263000,2.39000,0.92,46.7864000
HD 37605 c,HD 37605,2012,Multiple Observatories,,3.37000,1.00,46.7864000
HD 3765 b,HD 3765,2021,Multiple Observatories,2.108000,0.17300,0.85,17.9260000
HD 38283 b,HD 38283,2010,Anglo-Australian Telescope,1.020000,0.40000,1.37,38.0615000
HD 38529 b,HD 38529,2000,Multiple Observatories,0.129400,0.79700,1.41,42.3538000
HD 38529 c,HD 38529,2000,Multiple Observatories,3.720000,13.10000,0.98,42.3538000
HD 38801 b,HD 38801,2009,Subaru Telescope,1.660000,10.13000,1.29,91.4349000
HD 39091 b,HD 39091,2001,Anglo-Australian Telescope,3.280000,10.30000,1.10,18.2702000
HD 39194 b,HD 39194,2021,La Silla Observatory,0.056000,0.01259,0.67,26.4131000
HD 39194 c,HD 39194,2021,La Silla Observatory,0.103000,0.01982,0.67,26.4131000
HD 39194 d,HD 39194,2021,La Silla Observatory,0.185000,0.01259,0.67,26.4131000
HD 39855 b,HD 39855,2019,Las Campanas Observatory,0.041000,0.02674,0.87,23.2599000
HD 40307 b,HD 40307,2009,La Silla Observatory,0.047500,0.01199,0.77,12.9363000
HD 40307 c,HD 40307,2009,La Silla Observatory,0.081130,0.02077,0.79,12.9363000
HD 40307 d,HD 40307,2009,La Silla Observatory,0.134070,0.02989,0.79,12.9363000
HD 40307 f,HD 40307,2013,La Silla Observatory,0.249100,0.01636,0.79,12.9363000
HD 40307 g,HD 40307,2013,La Silla Observatory,0.606900,0.02234,0.79,12.9363000
HD 40956 b,HD 40956,2017,Multiple Observatories,1.400000,2.70000,2.00,116.5930000
HD 40979 b,HD 40979,2002,Multiple Observatories,0.846000,4.01000,1.15,34.0883000
HD 41004 A b,HD 41004 A,2004,La Silla Observatory,,2.54000,,36.6911700
HD 41004 B b,HD 41004 B,2003,La Silla Observatory,,18.64000,,41.5504000
HD 4113 b,HD 4113,2007,La Silla Observatory,1.280000,1.56000,0.99,41.8727000
HD 42012 b,HD 42012,2017,Haute-Provence Observatory,1.670000,1.60000,0.83,36.7984000
HD 4203 b,HD 4203,2001,W. M. Keck Observatory,1.164000,2.07000,1.13,81.3795000
HD 4203 c,HD 4203,2014,W. M. Keck Observatory,7.800000,2.68000,1.14,81.3795000
HD 4208 b,HD 4208,2001,W. M. Keck Observatory,1.662000,0.81000,0.88,34.1937000
HD 42618 b,HD 42618,2016,Multiple Observatories,0.554000,0.04531,1.01,24.3358000
HD 4308 b,HD 4308,2005,La Silla Observatory,0.115000,0.04420,0.83,22.0158000
HD 4313 b,HD 4313,2009,W. M. Keck Observatory,1.130000,2.99000,2.47,136.3080000
HD 43197 b,HD 43197,2010,La Silla Observatory,0.920000,0.60000,0.96,62.4112000
HD 43691 b,HD 43691,2007,Haute-Provence Observatory,0.238000,2.55000,1.32,85.6009000
HD 44219 b,HD 44219,2010,La Silla Observatory,1.190000,0.58000,1.00,52.9051000
HD 45184 b,HD 45184,2019,La Silla Observatory,0.064100,0.03750,1.01,21.9532000
HD 45184 c,HD 45184,2019,La Silla Observatory,0.110000,0.02770,1.03,21.9532000
HD 45350 b,HD 45350,2004,W. M. Keck Observatory,1.958000,1.82100,1.05,46.8733000
HD 45364 b,HD 45364,2008,La Silla Observatory,0.681300,0.18720,0.82,34.3540000
HD 45364 c,HD 45364,2008,La Silla Observatory,0.897200,0.65790,0.82,34.3540000
HD 45652 b,HD 45652,2008,Haute-Provence Observatory,0.237000,0.43300,0.92,34.8541000
HD 46375 b,HD 46375,2000,W. M. Keck Observatory,0.039800,0.22600,0.92,29.5529000
HD 47186 b,HD 47186,2008,La Silla Observatory,0.050000,0.07167,,37.4574000
HD 47186 c,HD 47186,2008,La Silla Observatory,2.395000,0.35061,,37.4574000
HD 4732 b,HD 4732,2012,Multiple Observatories,1.190000,2.37000,1.74,54.7841000
HD 4732 c,HD 4732,2012,Multiple Observatories,4.600000,2.37000,1.74,54.7841000
HD 47366 b,HD 47366,2016,Okayama Astrophysical Observatory,1.280000,2.30000,2.19,84.3552000
HD 47366 c,HD 47366,2016,Okayama Astrophysical Observatory,1.853000,1.86000,1.81,84.3552000
HD 47536 b,HD 47536,2002,La Silla Observatory,1.930000,7.32000,2.10,122.5360000
HD 4760 b,HD 4760,2021,Multiple Observatories,1.140000,13.90000,1.05,537.8730000
HD 48265 b,HD 48265,2008,Las Campanas Observatory,1.814000,1.52500,1.31,90.5446000
HD 4917 b,HD 4917,2018,W. M. Keck Observatory,1.167000,1.61500,1.32,204.2770000
HD 49674 b,HD 49674,2002,W. M. Keck Observatory,0.058000,0.10500,1.06,43.0399000
HD 50499 b,HD 50499,2005,W. M. Keck Observatory,,1.36000,1.28,46.2845000
HD 50499 c,HD 50499,2019,La Silla Observatory,10.100000,3.18000,1.25,46.2845000
HD 50554 b,HD 50554,2002,Lick Observatory,,4.46000,1.05,31.1664000
HD 51608 b,HD 51608,2019,La Silla Observatory,0.105900,0.04020,0.80,35.0553000
HD 51608 c,HD 51608,2019,La Silla Observatory,0.380900,0.04500,0.80,35.0553000
HD 52265 b,HD 52265,2000,W. M. Keck Observatory,0.504000,1.09000,1.20,29.9803000
HD 5278 b,HD 5278,2021,Transiting Exoplanet Survey Satellite (TESS),0.120200,0.02454,1.13,57.5846000
HD 5278 c,HD 5278,2021,Paranal Observatory,0.241600,0.05789,1.13,57.5846000
HD 5319 b,HD 5319,2007,W. M. Keck Observatory,1.570000,1.56000,1.27,121.4050000
HD 5319 c,HD 5319,2014,W. M. Keck Observatory,1.940000,1.02000,1.27,121.4050000
HD 55696 b,HD 55696,2018,W. M. Keck Observatory,3.180000,3.87000,1.29,77.9693000
HD 5583 b,HD 5583,2016,Roque de los Muchachos Observatory,0.530000,5.78000,1.01,219.2160000
HD 5608 b,HD 5608,2012,Okayama Astrophysical Observatory,1.990000,1.65000,1.98,58.1105000
HD 564 b,HD 564,2014,La Silla Observatory,1.200000,0.33000,0.96,51.1659000
HD 56414 b,HD 56414,2022,Transiting Exoplanet Survey Satellite (TESS),0.229000,,1.89,272.2170000
HD 5891 b,HD 5891,2011,W. M. Keck Observatory,0.640000,7.63000,1.93,283.5020000
HD 59686 A b,HD 59686 A,2016,Lick Observatory,1.086000,6.92000,1.90,89.2721000
HD 60292 b,HD 60292,2020,Bohyunsan Optical Astronomical Observatory,1.500000,6.50000,1.70,315.2110000
HD 60532 b,HD 60532,2008,La Silla Observatory,0.770000,1.06000,1.50,25.9716000
HD 60532 c,HD 60532,2008,La Silla Observatory,1.580000,2.46000,1.44,25.9716000
HD 62509 b,HD 62509,2006,Multiple Observatories,1.690000,2.90000,1.70,
HD 63433 b,HD 63433,2020,Transiting Exoplanet Survey Satellite (TESS),,,,22.4035000
HD 63433 c,HD 63433,2020,Transiting Exoplanet Survey Satellite (TESS),,,,22.4035000
HD 63454 b,HD 63454,2005,La Silla Observatory,0.036000,0.38000,0.80,37.6894000
HD 63765 b,HD 63765,2009,La Silla Observatory,0.940000,0.64000,0.86,32.5376000
HD 63935 b,HD 63935,2021,Transiting Exoplanet Survey Satellite (TESS),,0.03398,0.93,48.9739000
HD 63935 c,HD 63935,2021,Multiple Observatories,,,,48.9739000
HD 64114 b,HD 64114,2019,Las Campanas Observatory,0.246000,0.05600,0.95,31.5262000
HD 64121 b,HD 64121,2022,La Silla Observatory,1.510000,2.56000,1.64,129.9660000
HD 6434 b,HD 6434,2003,La Silla Observatory,0.148000,0.44000,0.89,42.3580000
HD 65216 b,HD 65216,2003,La Silla Observatory,1.300000,1.26000,1.00,35.1205000
HD 65216 c,HD 65216,2013,La Silla Observatory,5.750000,2.03000,0.87,35.1205000
HD 66141 b,HD 66141,2012,Bohyunsan Optical Astronomical Observatory,1.200000,6.00000,1.10,68.1509000
HD 66428 b,HD 66428,2005,W. M. Keck Observatory,,3.09000,1.06,53.2817000
HD 66428 c,HD 66428,2021,Multiple Observatories,23.000000,27.00000,1.05,53.2817000
HD 67087 b,HD 67087,2015,Multiple Observatories,1.080000,3.06000,1.36,76.5217000
HD 67087 c,HD 67087,2015,Multiple Observatories,3.860000,4.85000,1.36,76.5217000
HD 6718 b,HD 6718,2009,La Silla Observatory,3.550000,1.68000,1.08,51.3444000
HD 68402 b,HD 68402,2016,Multiple Observatories,2.180000,3.07000,1.12,78.4293000
HD 68988 b,HD 68988,2001,Multiple Observatories,0.070200,1.91400,1.17,60.8447000
HD 68988 c,HD 68988,2021,Multiple Observatories,13.200000,15.00000,1.17,60.8447000
HD 69123 b,HD 69123,2022,La Silla Observatory,2.482000,3.04000,1.68,75.1160000
HD 69830 b,HD 69830,2006,La Silla Observatory,0.079400,0.03230,0.89,12.5591000
HD 69830 c,HD 69830,2006,La Silla Observatory,0.186000,0.03710,0.86,12.5591000
HD 69830 d,HD 69830,2006,La Silla Observatory,0.630000,0.05700,0.86,12.5591000
HD 70573 b,HD 70573,2007,La Silla Observatory,1.760000,6.10000,1.00,59.1820000
HD 70642 b,HD 70642,2003,Anglo-Australian Telescope,3.180000,1.85000,0.96,29.2760000
HD 7199 b,HD 7199,2011,La Silla Observatory,1.360000,0.29000,0.89,36.1531000
HD 72490 b,HD 72490,2018,W. M. Keck Observatory,1.880000,1.76800,1.21,126.3390000
HD 72659 b,HD 72659,2002,W. M. Keck Observatory,,2.99000,1.07,51.8949000
HD 72892 b,HD 72892,2016,Multiple Observatories,0.228000,5.45000,1.02,69.7311000
HD 73267 b,HD 73267,2008,La Silla Observatory,2.187000,3.09700,0.90,50.4093000
HD 73526 b,HD 73526,2002,Anglo-Australian Telescope,0.660000,3.00000,1.05,97.2396000
HD 73526 c,HD 73526,2005,Anglo-Australian Telescope,1.030000,2.25000,1.01,97.2396000
HD 73534 b,HD 73534,2008,W. M. Keck Observatory,2.990000,1.11200,1.16,83.3321000
HD 73583 b,HD 73583,2022,Transiting Exoplanet Survey Satellite (TESS),,,,31.5666000
HD 73583 c,HD 73583,2022,Transiting Exoplanet Survey Satellite (TESS),,,,31.5666000
HD 74156 b,HD 74156,2003,Haute-Provence Observatory,0.294000,1.86000,1.27,57.6030000
HD 74156 c,HD 74156,2003,Haute-Provence Observatory,3.400000,6.17000,1.27,57.6030000
HD 7449 b,HD 7449,2011,La Silla Observatory,2.330000,1.09000,1.12,38.6620000
HD 75289 b,HD 75289,1999,La Silla Observatory,0.047000,0.46000,1.15,29.1158000
HD 75784 b,HD 75784,2014,W. M. Keck Observatory,1.033000,1.08000,1.26,85.4321000
HD 75784 c,HD 75784,2018,W. M. Keck Observatory,8.400000,5.64000,1.26,85.4321000
HD 75898 b,HD 75898,2007,W. M. Keck Observatory,1.191000,2.71000,1.26,78.0505000
HD 76700 b,HD 76700,2002,Anglo-Australian Telescope,0.050000,0.21000,0.99,60.8831000
HD 76920 b,HD 76920,2017,Multiple Observatories,1.149000,3.93000,1.17,184.0310000
HD 77338 b,HD 77338,2012,La Silla Observatory,0.060000,0.06000,1.37,45.9350000
HD 79181 b,HD 79181,2021,Okayama Astrophysical Observatory,0.900000,0.64000,1.28,103.3350000
HD 7924 b,HD 7924,2008,W. M. Keck Observatory,,0.02914,0.87,16.9922000
HD 7924 c,HD 7924,2015,W. M. Keck Observatory,0.113400,0.02473,0.83,16.9922000
HD 7924 d,HD 7924,2015,W. M. Keck Observatory,0.153200,0.01920,0.80,16.9922000
HD 79498 b,HD 79498,2011,McDonald Observatory,2.980000,1.34000,1.08,48.9489000
HD 80606 b,HD 80606,2001,Multiple Observatories,0.460200,4.16000,1.05,66.4711000
HD 80653 b,HD 80653,2020,K2,,,,109.8600000
HD 80869 b,HD 80869,2021,Haute-Provence Observatory,2.878000,4.86000,1.08,85.3951000
HD 81040 b,HD 81040,2005,Multiple Observatories,1.946000,7.24000,0.99,34.4341000
HD 81688 b,HD 81688,2007,Okayama Astrophysical Observatory,0.810000,2.70000,2.10,85.7183000
